route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10226_109,148,224581975,Ringbahn S 42,42247,0,4478,1482,1,1
10226_109,148,224581969,S Beusselstr. (Berlin),42259,0,4478,1482,1,1
10226_109,163,224582157,S+U Hermannstr. (Berlin),42271,0,4478,1478,1,1
10226_109,164,224582107,Ringbahn S 42,42387,0,4490,1483,1,1
10226_109,164,224582108,Ringbahn S 42,42021,0,4491,1471,1,1
10226_109,145,224582109,Ringbahn S 42,42005,0,4492,1471,1,1
10226_109,163,224582158,S Schöneweide Bhf (Berlin),4201,0,4492,1470,1,1
10226_109,145,224581951,Ringbahn S 42,42017,0,4492,1482,1,1
10226_109,145,224581945,Ringbahn S 42,42029,0,4492,1482,1,1
10226_109,162,224581939,S Beusselstr. (Berlin),42041,0,4492,1482,1,1
10226_109,162,224581935,Ringbahn S 42,42053,0,4492,1482,1,1
10226_109,148,224582066,Ringbahn S 42,42065,0,4492,1482,1,1
10226_109,148,224582060,Ringbahn S 42,42077,0,4492,1482,1,1
10226_109,148,224582054,Ringbahn S 42,42089,0,4492,1482,1,1
10226_109,148,224582048,Ringbahn S 42,42101,0,4492,1482,1,1
10226_109,148,224582042,Ringbahn S 42,42113,0,4492,1482,1,1
10226_109,148,224582036,Ringbahn S 42,42125,0,4492,1482,1,1
10226_109,148,224582030,Ringbahn S 42,42137,0,4492,1482,1,1
10226_109,148,224582024,Ringbahn S 42,42149,0,4492,1482,1,1
10226_109,148,224582018,Ringbahn S 42,42161,0,4492,1482,1,1
10226_109,148,224582012,Ringbahn S 42,42173,0,4492,1482,1,1
10226_109,148,224582006,Ringbahn S 42,42185,0,4492,1482,1,1
10226_109,148,224582000,Ringbahn S 42,42197,0,4492,1482,1,1
10226_109,148,224581994,Ringbahn S 42,42209,0,4492,1482,1,1
10226_109,148,224581988,Ringbahn S 42,42221,0,4492,1482,1,1
10226_109,148,224581982,Ringbahn S 42,42233,0,4492,1482,1,1
10226_109,148,224581976,Ringbahn S 42,42245,0,4492,1482,1,1
10226_109,148,224581970,S Beusselstr. (Berlin),42257,0,4492,1482,1,1
10226_109,165,224582110,Ringbahn S 42,42039,0,4493,1471,1,1
10226_109,166,224582135,S Beusselstr. (Berlin),42343,0,4502,1483,1,1
10226_109,167,224582102,S Beusselstr. (Berlin),42393,0,4502,1482,1,1
